title,description,difficulty,equipment,body_part
Jumping Jacks,Perform jumping jacks for 1 minute.,Easy,None,legs
Wall Sit,Hold a wall sit position for 30 seconds.,Easy,None,legs
Knee Push Ups,Perform knee push ups for 10 reps.,Easy,None,chest
Bodyweight Squats,Perform 15 bodyweight squats.,Easy,None,legs
Standing Toe Touches,"Touch your toes while standing, repeat 10 times.",Easy,None,legs
Arm Circles,Perform arm circles for 1 minute.,Easy,None,arms
Seated Leg Raises,"Raise one leg while seated, 10 times each leg.",Easy,None,legs
Calf Raises,Perform 20 calf raises.,Easy,None,legs
Marching in Place,March in place for 2 minutes.,Easy,None,legs
Step Touch,"Step to the side and touch, 20 times.",Easy,None,legs
Side Leg Lifts,"Lift your leg to the side, 15 times each leg.",Easy,None,legs
Standing Hip Circles,"Rotate hips in a circle, 1 minute.",Easy,None,core
Wall Push Ups,"Perform push ups against a wall, 10 reps.",Easy,None,chest
Cat-Cow Stretch,Perform cat-cow stretch for 2 minutes.,Easy,None,back
Glute Bridges,Perform 15 glute bridges.,Easy,None,glutes
Toe Taps,Tap toes to a step 20 times.,Easy,None,legs
Arm Raises,"Raise arms up and down, 20 times.",Easy,None,shoulder
Seated March,March while seated for 2 minutes.,Easy,None,legs
Standing Calf Stretch,Stretch calves for 30 seconds each leg.,Easy,None,legs
Neck Rolls,"Roll neck gently in circles, 1 minute.",Easy,None,neck
Barbell Deadlift,"Perform barbell deadlifts with proper form, 8 reps.",Hard,Barbell,back
Weighted Pull Ups,Do 10 pull ups with added weight.,Hard,"Pull Up Bar,Weights",back
Pistol Squats,"Perform pistol squats, 8 reps each leg.",Hard,None,legs
Muscle Ups,Perform 5 muscle ups on bars.,Hard,Pull Up Bar,back
One Arm Push Ups,Perform 10 one arm push ups.,Hard,None,chest
Weighted Lunges,"Perform weighted lunges, 12 reps each leg.",Hard,Dumbbells,legs
Barbell Squats,"Perform barbell squats, 10 reps.",Hard,Barbell,legs
Handstand Hold,Hold a handstand for 30 seconds.,Hard,None,shoulder
Kettlebell Swings,"Perform kettlebell swings, 20 reps.",Hard,Kettlebell,core
Box Jumps,"Jump onto a box, 15 reps.",Hard,Box,legs
Burpees,Perform 20 burpees.,Hard,None,full body
Clap Push Ups,Perform 15 clap push ups.,Hard,None,chest
Sled Push,Push a sled with weight for 20 meters.,Hard,Sled,legs
Weighted Step Ups,"Perform weighted step ups, 15 reps each leg.",Hard,"Dumbbells,Box",legs
Battle Ropes,Use battle ropes for 1 minute.,Hard,Battle Ropes,arms
Ring Dips,"Perform ring dips, 12 reps.",Hard,Gymnastic Rings,chest
Tire Flips,Flip a large tire 10 times.,Hard,Tire,full body
Sprints,"Sprint for 100 meters, 5 reps.",Hard,None,legs
